Time,X,Y,Z
0.0055863,0.018872527,-0.003400721,-1.016916385
0.0170382,-0.01407729,-0.00954003,-1.038546781
0.0290627,0.004799372,0.001401216,-1.018867005
0.0416884,0.025124587,-0.007809334,-1.009162182
0.0549454,-0.008410176,0.010211621,-1.012576949
0.0688441,0.021562925,-0.001652592,-0.970690019
0.0830737,0.018638427,-0.000577383,-0.953293733
0.09733375,-0.056924373,0.00946766,-0.934829352
0.1116328,0.025367817,-0.001072248,-0.912012402
0.1259751,-0.008244523,-0.004559898,-0.850575033
0.14035445,0.022923949,-0.015782997,-0.826639712
0.15476635,-0.018289703,0.007098195,-0.800443536
0.1692148,-0.005498848,0.003163125,-0.796286824
0.18370135,0.016917451,0.000138428,-0.777363381
0.19822565,-0.012291184,0.005840506,-0.760192259
0.212786,-0.010237732,0.00474147,-0.727668098
0.2273804,0.009921046,-0.000426576,-0.702751352
0.24200745,0.013564645,-0.006768055,-0.662031947
0.2566652,-0.019757726,0.004858817,-0.64189226
0.27135125,-0.020300006,-0.006932808,-0.62000585
0.28606485,-0.012307072,0.004192653,-0.588490918
0.30080715,0.020308272,-0.010973592,-0.550474009
0.3155806,0.000703275,0.006348166,-0.520865732
0.33038855,-0.016688239,0.003547797,-0.48080075
0.3452345,0.003461045,0.003663906,-0.455986223
0.36012175,0.004755458,-0.002751628,-0.428407574
0.3750488,0.010471603,0.000837984,-0.388340225
0.39001385,-0.026629869,0.002513384,-0.347407689
0.40501955,-0.011019851,-0.00542151,-0.30908982
0.420068,0.010196189,0.006174079,-0.277322132
0.4351602,-0.001177098,0.001945118,-0.236525916
0.45029685,0.004462897,-0.004265293,-0.205836758
0.46547855,-0.003776096,0.002494005,-0.163019672
0.48070575,0.000293506,0.005444023,-0.128753254
0.49597975,-0.006040391,0.001935592,-0.085397342
0.51130265,-0.003093101,0.001230162,-0.04239668
0.5266769,-0.019340844,-0.004867895,0.001428516
0.54210585,0.006258726,-0.009256377,0.030115221
0.5575934,0.000923649,-0.001347014,0.074733532
0.5731432,-0.000464837,0.001170552,0.10885777
0.5887589,-0.003005316,-0.000797937,0.146585216
0.6044436,-0.004525566,-0.000367708,0.189900635
0.61868775,0.004584564,0.001226127,0.225296628
0.63154635,-0.009047472,-0.001794165,0.285727525
0.64262895,-0.003351381,-0.00441685,0.315640427
0.6514641,0.001999101,-0.005632236,0.360500603
0.65988945,-0.005216449,0.000374936,0.627457752
0.6684962,-0.000761405,0.001288252,0.425753692
0.6762785,-0.004911974,0.008230928,0.605379372
0.68619875,-0.001763605,-0.000782555,0.640328432
0.69578125,-0.000196789,-0.002702824,0.897076986
0.70375425,0.002492227,0.000789609,0.757269459
0.71125385,-0.004755448,-0.007392746,0.430048579
0.71924515,0.001255607,-0.004366817,0.911199329
0.72754795,-0.000645711,-0.010780872,0.609981387
0.7360201,-0.002004895,-0.012333211,1.294785451
0.74434165,-0.006417439,-0.003646085,1.275484167
0.74992545,0.007926784,0.002584591,1.939039527
0.7589416,-0.013856419,-0.008407337,1.706510615
0.7684085,0.022621723,0.009022489,1.227618702
0.77486455,-0.009199269,-0.01250355,1.079055719
0.7813123,0.003957608,-0.005554003,0.924784254
0.78808245,-0.003896731,0.00604235,0.620823901
0.7990142,-0.0009052,0.005481241,0.633921035
0.81049255,0.000236159,0.004704115,0.585439372
0.81872175,0.002109515,0.006836875,0.544490445
0.82736235,-0.004518206,0.013745728,0.531933162
0.836435,-0.004217667,0.0165881,0.597277814
0.8459613,-0.000947984,0.006583332,0.604994569
0.8559639,0.012973962,-0.014179874,0.604766459
0.86515485,0.009703268,-0.00120427,0.49839588
0.8730868,0.00667663,-0.031368755,0.556193877
0.8810086,-0.007324954,0.021201683,0.500640789
0.88932665,0.004706317,0.00370992,0.453133985
0.8980602,-0.002084507,-0.001558395,0.405510843
0.9067832,0.003879882,-0.007574047,0.421282353
0.9154952,0.004085276,-0.011163943,0.38601524
0.9241962,-0.004478297,-0.000418829,0.355343241
0.9324622,-0.002426,0.008820184,0.359113484
0.9403152,-0.000449425,0.004653568,0.38574229
0.9481582,0.000298979,0.0093736,0.394622853
0.9563932,-0.01020863,0.012198625,0.420815552
0.9646182,0.004738832,0.013704305,0.430870976
0.9728327,-0.013201188,0.016676958,0.439988116
0.9814577,-0.008747482,0.019952213,0.499128466
0.9905137,-0.006490352,0.005451277,0.513474183
1.0000232,0.006463355,0.000635568,0.53494149
1.0100082,-0.033175401,-0.004779673,0.568644896
1.0199807,-0.012777915,0.01213429,0.58044664
1.0299402,-0.023871888,0.009778259,0.515428347
1.0403977,-0.018994586,0.007898292,0.508830393
1.0513782,-0.0113117,0.000150693,0.500889047
1.0629077,-0.00356024,0.000692236,0.520590975
1.0750137,-0.002426095,0.000673091,0.534868156
1.0877252,0.009161573,-0.001705498,0.565005376
1.1010722,0.008769968,-0.008271855,0.559435342
1.1150862,0.003811925,-0.006999972,0.643514907
1.1298012,0.003348945,0.003103244,0.646046172
1.1452522,0.001332196,-0.003708908,0.617801365
1.1603727,0.00589447,0.00477691,0.616281829
1.1749432,-0.004201725,0.00444137,0.631888919
1.1896067,0.006026577,-0.003363689,0.652496061
1.2045702,0.003655728,0.00491539,0.631964379
1.2190522,-0.006109196,0.003313142,0.745244207
1.2330297,-0.003231092,0.00222334,0.666659683
1.2471142,0.010074296,-0.004297401,0.60513213
1.2610207,0.001801833,0.006950154,0.624430996
1.2750262,0.002152548,-0.001267654,0.690803673
1.2893612,0.005190603,-0.00259896,0.763023868
1.3040987,0.004923248,0.002419646,0.745563119
1.3186882,0.001424403,-0.003619573,0.882477035
1.3325527,0.009141535,-0.008195792,0.906252332
1.3458232,-0.003786726,0.004666205,0.833304156
1.3585567,0.006028713,-0.016683048,0.945667126
1.3711942,0.01396161,-0.003146825,0.951072918
1.3840727,-0.006441027,0.001334431,0.95855749
1.3965327,0.002395574,0.008242316,0.927954414
1.4085487,0.012369789,-0.004957838,0.878738573
1.4201642,-0.007305005,-0.001053095,0.845764061
1.4316707,-0.009277574,0.002108449,0.846074327
1.4429347,0.002355077,-0.000689014,0.910607041
1.4540287,-0.000681214,0.000654404,0.899296084
1.4655812,0.006303492,0.004873756,0.906022147
1.4771407,0.016801125,-0.00358368,0.851709289
1.4882352,0.00862729,-0.018021702,0.847123034
1.4987717,0.004097048,-0.013334561,0.88009354
1.5086522,0.002244262,-0.005151348,0.883659718
1.5179122,0.01443793,-0.005282321,0.904854799
1.5271597,0.002637918,0.015693402,0.885960097
1.5363962,0.005220889,0.007776656,0.855666667
1.5451712,-0.020652865,0.018614421,0.809953216
1.5539347,0.008201292,0.002332505,0.809825109
1.5631362,0.004935391,-0.011677615,0.792690431
1.5723267,0.01143359,0.004420637,0.87426019
1.5815037,0.016441813,-0.012028322,0.8701564
1.5911377,0.011923234,-0.009052944,0.809443713
1.6011232,0.005398614,-0.008924025,0.817214413
1.6109722,0.001855336,0.010705044,0.778022093
1.6205422,0.0113579,-0.015651907,0.784786253
1.6300702,-0.002069828,9.83074E-05,0.782989907
1.6385082,-0.00698198,-0.009023112,0.777064096
1.6456882,0.006096026,0.001264766,0.759991424
1.6524447,0.012826362,-0.001367485,0.733512352
1.6623752,0.004045031,0.0114224,0.734105216
1.6724602,-0.001570788,0.01310772,0.692133021
1.6794567,0.008039082,0.008784526,0.69990233
1.6868027,0.003819561,0.012440691,0.675534884
1.6941397,0.005257183,0.006635711,0.660386068
1.7014672,0.006699081,-0.019398561,0.674633626
1.7087862,0.008011806,-0.005917863,0.658847448
1.7190477,0.005578232,-0.008209484,0.683907102
1.7292167,0.000708756,0.006950281,0.700503815
1.7359902,0.000400514,0.001610652,0.646833333
1.7427552,0.010383737,0.019156609,0.638845599
1.7498582,0.004658458,-0.011947938,0.630731171
1.7573162,4.72291E-05,0.008718914,0.603612565
1.7651472,0.00166263,0.002181837,0.575442533
1.7729692,-0.000292078,-0.026105838,0.631448439
1.7807812,-0.025392413,-0.01581842,0.670157461
1.7910182,-0.009324447,-0.021483279,0.631935536
1.8004447,0.01344808,-0.011475895,0.607114872
