Time,X,Y,Z
0.00559,-0.71753,-3.86085,0.02056
0.01704,-0.73697,-3.81971,0.03092
0.02906,-0.75181,-3.58967,0.00977
0.04169,-0.76868,-3.35934,-0.01318
0.05495,-0.79065,-3.23665,-0.03503
0.06884,-0.79340,-2.90874,0.02931
0.08307,-0.80609,-2.67259,0.00033
0.09733,-0.83142,-2.43425,-0.01003
0.11163,-0.85543,-2.17769,-0.01323
0.12598,-0.82346,-1.83478,0.02319
0.14035,-0.86354,-1.58479,0.01513
0.15477,-0.87528,-1.37764,-0.04701
0.16921,-0.92669,-1.21101,0.00478
0.18370,-1.00045,-0.97383,-0.01586
0.19823,-1.02608,-0.76771,-0.01561
0.21279,-1.09159,-0.51799,0.01797
0.22738,-1.11912,-0.31603,0.00382
0.24201,-1.15548,-0.07511,0.01482
0.25667,-1.19154,0.09785,-0.02836
0.27135,-1.22895,0.29652,0.00630
0.28606,-1.27329,0.48406,0.01465
0.30081,-1.32283,0.70940,-0.02897
0.31558,-1.35122,0.87886,0.00496
0.33039,-1.37923,1.08165,0.00793
0.34523,-1.42397,1.22686,-0.00764
0.36012,-1.44363,1.39838,0.00316
0.37505,-1.48078,1.57384,-0.01111
0.39001,-1.52255,1.75805,-0.03917
0.40502,-1.54747,1.91284,0.03332
0.42007,-1.57951,2.06385,-0.01693
0.43516,-1.60245,2.22152,-0.01173
0.45030,-1.63320,2.36973,-0.02133
0.46548,-1.67116,2.52033,-0.01577
0.48071,-1.67373,2.66360,0.01992
0.49598,-1.70638,2.79744,0.01758
0.51130,-1.72883,2.91685,0.00370
0.52668,-1.75578,3.04689,0.00518
0.54211,-1.78754,3.15951,-0.01133
0.55759,-1.82720,3.25514,0.00234
0.57314,-1.83449,3.33151,-0.00321
0.58876,-1.85485,3.42052,0.00111
0.60444,-1.87152,3.52440,0.02228
0.61869,-1.88266,3.62431,-0.01531
0.63155,-1.90631,3.74807,0.01777
0.64263,-1.91844,3.89428,-0.00614
0.65146,-1.99043,4.09066,0.00522
0.65989,-2.07815,4.43876,0.01601
0.66850,-1.99575,4.12887,-0.00280
0.67628,-2.09612,4.66173,0.00292
0.68620,-2.18530,4.67793,0.01325
0.69578,-2.34747,5.19733,-0.00279
0.70375,-2.23436,4.91933,-0.00043
