Time,X,Y,Z
0.00761945,-0.46574884,-0.007086404,-0.085199982
0.0232393,-0.447877606,-0.015173054,-0.083431453
0.03964015,-0.437970585,-0.015169902,-0.083753251
0.05686105,-0.409412218,-0.011128344,-0.09003849
0.074943,-0.396058954,-0.008956918,-0.090297468
0.09392905,-0.360695354,-0.004386938,-0.08734543
0.1138644,-0.3315607,-0.008587873,-0.089265777
0.1347965,-0.292949549,-0.00725135,-0.093642096
0.1567752,-0.244687939,-0.016527586,-0.093784977
0.1798529,-0.204905967,-0.007509915,-0.099579114
0.20290245,-0.159040007,-0.010874683,-0.095544226
0.2259224,-0.125760133,-0.0130021,-0.101573274
0.24929765,-0.083960965,-0.0157049,-0.096778036
0.2722254,-0.03534276,-0.024521462,-0.093415879
0.2952603,0.004075541,-0.019746658,-0.09773985
0.3190142,0.047387707,-0.025261022,-0.091108173
0.34308965,0.092934884,-0.026834412,-0.09029738
0.36702255,0.132994677,-0.037229742,-0.087619603
0.39090545,0.165582095,-0.030862475,-0.089407143
0.4149873,0.197023584,-0.031989009,-0.082264866
0.43861855,0.224470474,-0.024441636,-0.083012165
0.46218595,0.274808685,-0.026632033,-0.08397727
0.4856927,0.283243102,-0.023568591,-0.080915124
0.50910315,0.316161375,-0.018873976,-0.080859978
0.5324221,0.326041988,-0.019747942,-0.07688394
0.55566855,0.34839874,-0.018845948,-0.072375368
0.57884615,0.358517134,-0.008713828,-0.06900143
0.59886815,0.374939149,0.002142698,-0.066930306
0.6158923,0.38010321,-0.008662796,-0.062980781
0.63289465,0.392097421,-0.005520954,-0.059530576
0.65074715,0.393359544,-0.010981687,-0.051269965
0.66949225,0.415527827,-0.002731808,-0.048791551
0.6887008,0.41602827,-0.002138664,-0.040238254
0.7080319,0.418017833,0.013929831,-0.038701832
0.7279655,0.421103047,0.002583424,-0.02911194
0.74653295,0.428738087,-0.002157809,-0.022145844
0.76311105,0.402606273,0.006193077,-0.017289597
0.77914115,0.427851797,0.010135027,-0.011506425
0.7951507,0.432465244,0.016532317,-0.006226829
0.81196075,0.432902829,0.017279574,-0.000601042
0.8296113,0.430220674,0.019636414,0.00670151
0.8479742,0.421068609,0.01728262,0.014605681
0.86516555,0.408059398,0.000833656,0.025516111
0.8790584,0.386661382,-0.004864374,0.041283886
0.89080515,0.414802328,0.007120753,0.050936159
0.9019645,0.410038536,0.02494822,0.048184494
0.9125655,0.413956917,0.033315519,0.064620002
0.9226365,0.399291756,0.044094874,0.036886783
0.9366325,0.398690797,0.048580175,0.049968095
0.9499285,0.387822418,0.024565672,0.06531796
0.96319,0.363964108,0.018460906,0.066363887
0.9771145,0.379799774,0.034761269,0.072155252
0.9870975,0.371886184,0.044346925,0.060455657
0.99758,0.369801639,0.057802198,0.060079158
1.0085865,0.369714412,0.046586341,0.066922395
1.020143,0.366013685,0.046375908,0.073112857
1.0322775,0.341444775,0.05721189,0.078649344
1.045019,0.3513768,0.05162297,0.087659363
1.058397,0.337866316,0.048380232,0.101622884
1.072444,0.332486449,0.047035511,0.111031967
1.0871935,0.331493812,0.042009802,0.123514462
1.1026805,0.31673243,0.03665983,0.130457611
1.118942,0.321550006,0.030939789,0.140644135
1.1360165,0.307638214,0.026759648,0.149802756
1.152374,0.290477535,0.030661456,0.166860221
1.1679785,0.296857679,0.021566594,0.171839224
1.1837015,0.283511416,0.017851368,0.174779768
1.1990605,0.274169234,0.015394507,0.179142033
1.2143445,0.250355953,0.007846189,0.184315198
1.2300385,0.234204143,0.002677054,0.185601791
1.246517,0.21257109,0.007951955,0.194114929
1.2638195,0.202691114,0.004574499,0.195162764
1.281101,0.180353961,0.012212792,0.199551016
1.29836,0.161538462,0.012651414,0.206232466
1.3164825,0.157236736,0.005106598,0.215935362
1.335511,0.149569054,0.01221142,0.222106249
1.3554905,0.146220746,0.025435628,0.23235418
1.3763505,0.131877853,0.016170941,0.24011763
1.396516,0.141833526,0.003926198,0.240431701
1.415375,0.118927039,-0.001048712,0.244838305
1.4344815,0.094875594,0.002463496,0.245620498
1.4540075,0.060762873,0.001543046,0.236629704
1.4733725,0.031136045,0.000718093,0.235423614
1.4916325,0.018889339,-0.001624993,0.235025769
1.509334,-0.028162568,0.006562369,0.235314878
1.5279205,-0.023173486,0.004517307,0.238279847
1.546484,-0.028881026,0.014135891,0.25184487
1.5638045,-0.02620673,0.002413762,0.250106325
1.580771,-0.036524741,0.004100115,0.254997123
1.5985855,-0.050468519,-0.006841306,0.25424352
1.617291,-0.074590335,-0.017444578,0.243771005
1.6363685,-0.125256674,-0.00939225,0.234341073
1.655504,-0.154455856,-0.002416952,0.227183836
1.6750795,-0.181432094,-0.007695315,0.216013184
1.6948395,-0.22261414,-0.008442968,0.214401181
1.7149785,-0.23864088,-0.010720712,0.208827977
1.7354415,-0.209164819,-0.007269623,0.195839369
1.7551465,-0.207449647,-0.001954748,0.191530212
1.7735255,-0.205940033,-0.011804965,0.187342856
1.790727,-0.205823389,-0.02756068,0.187227327
1.8070685,-0.176241914,-0.012926082,0.16203228
1.822593,-0.177707259,-0.017380471,0.147325136
1.8373415,-0.191475889,-0.009964025,0.131695776
1.8513525,-0.200241008,-0.025466413,0.121763973
1.8646625,-0.215038168,0.003407048,0.096237181
1.877956,-0.21994566,-0.023956969,0.096893817
1.891914,-0.160183942,-0.001196531,0.067638831
1.9064985,-0.195485172,-0.006730415,0.058240871
1.9209975,-0.151774616,-0.000652439,0.043675232
1.9347715,-0.183165189,-0.016303778,0.036599359
1.948528,-0.164856656,-0.003678186,0.015746523
