Time,X,Y,Z
0.00762,0.01148,-2.23511,0.05969
0.02324,0.01138,-2.14731,0.03437
0.03964,0.01266,-2.06359,-0.00345
0.05686,0.01008,-1.94100,-0.03188
0.07494,0.00330,-1.84083,-0.06361
0.09393,-0.00162,-1.69107,-0.11538
0.11386,-0.01076,-1.55162,-0.13966
0.13480,-0.00839,-1.40323,-0.15529
0.15678,-0.01286,-1.23278,-0.17065
0.17985,0.00707,-1.08899,-0.17101
0.20290,0.00608,-0.87866,-0.22275
0.22592,0.00078,-0.69069,-0.26602
0.24930,-0.00548,-0.48074,-0.26730
0.27223,-0.01477,-0.30846,-0.22326
0.29526,-0.00411,-0.10304,-0.19489
0.31901,-0.00574,0.10581,-0.18010
0.34309,-0.00678,0.32613,-0.14990
0.36702,-0.01319,0.50113,-0.08319
0.39091,-0.00805,0.67942,-0.04779
0.41499,-0.01000,0.85600,-0.00159
0.43862,-0.00336,1.01928,0.03005
0.46219,-0.00074,1.18355,0.12028
0.48569,-0.00025,1.31788,0.14776
0.50910,0.00207,1.43960,0.20932
0.53242,0.00710,1.56541,0.25564
0.55567,0.01234,1.68708,0.32784
0.57885,0.01196,1.80085,0.34965
0.59887,0.01430,1.88557,0.43300
0.61589,0.01179,1.96561,0.48004
0.63289,0.01420,2.03037,0.54086
0.65075,0.01920,2.09652,0.67460
0.66949,0.01694,2.16397,0.66102
0.68870,0.01629,2.21497,0.73467
0.70803,0.01062,2.27104,0.80037
0.72797,0.02239,2.32621,0.83934
0.74653,0.02642,2.36731,0.92373
0.76311,0.00329,2.40081,1.15854
0.77914,0.02366,2.42656,1.01677
0.79515,0.03397,2.44310,1.08369
0.81196,0.02881,2.45856,1.08142
0.82961,0.02676,2.46398,1.12132
0.84797,0.04554,2.46588,1.20592
0.86517,0.03415,2.49092,1.19101
0.87906,0.03343,2.54084,1.40839
0.89081,0.03857,2.52011,1.27137
0.90196,0.03797,2.49117,1.24934
0.91257,0.03830,2.50305,1.24809
0.92264,0.04825,2.44930,1.17947
0.93663,0.03271,2.43618,1.24805
0.94993,0.04592,2.44832,1.24944
0.96319,0.05463,2.42660,1.18311
0.97711,0.04654,2.38331,1.20518
0.98710,0.04838,2.34635,1.17654
0.99758,0.03729,2.31071,1.19430
1.00859,0.04218,2.29200,1.16840
1.02014,0.03859,2.25346,1.17083
1.03228,0.04240,2.22293,1.12663
1.04502,0.04530,2.17685,1.15490
1.05840,0.04441,2.15883,1.15715
1.07244,0.05734,2.08894,1.15946
1.08719,0.04381,2.03235,1.17773
1.10268,0.05397,1.98608,1.15578
1.11894,0.05304,1.89771,1.15931
1.13602,0.05519,1.83051,1.13400
1.15237,0.05780,1.79099,1.14367
1.16798,0.04636,1.68646,1.13825
1.18370,0.04954,1.61253,1.13129
1.19906,0.04519,1.54649,1.10077
1.21434,0.04630,1.46222,1.07769
1.23004,0.05224,1.35647,1.05465
1.24652,0.05200,1.28075,0.99564
1.26382,0.03511,1.16536,1.00278
1.28110,0.02699,1.07881,0.91511
1.29836,0.05894,0.97658,0.89165
1.31648,0.05983,0.87476,0.85635
1.33551,0.03529,0.72584,0.82862
1.35549,0.03036,0.58064,0.76119
1.37635,0.02086,0.40992,0.75520
1.39652,0.01885,0.23954,0.72452
1.41538,0.01620,0.12055,0.68907
1.43448,0.00877,-0.01824,0.60599
1.45401,0.00550,-0.15879,0.52081
1.47337,0.02043,-0.30336,0.46858
1.49163,0.02401,-0.41103,0.40552
1.50933,0.01031,-0.54704,0.30140
1.52792,0.00284,-0.70114,0.32745
1.54648,-0.00353,-0.83448,0.30790
1.56380,-0.01259,-0.96768,0.31057
1.58077,-0.00873,-1.13700,0.27241
